n,e*log(n),n,e*log(n) <= n
1.0000,0.0000,1.0000,Si
1.0100,0.0270,1.0100,Si
1.0200,0.0538,1.0200,Si
1.0300,0.0803,1.0300,Si
1.0400,0.1066,1.0400,Si
1.0500,0.1326,1.0500,Si
1.0600,0.1584,1.0600,Si
1.0700,0.1839,1.0700,Si
1.0800,0.2092,1.0800,Si
1.0900,0.2343,1.0900,Si
1.1000,0.2591,1.1000,Si
1.1100,0.2837,1.1100,Si
1.1200,0.3081,1.1200,Si
1.1300,0.3322,1.1300,Si
1.1400,0.3562,1.1400,Si
1.1500,0.3799,1.1500,Si
1.1600,0.4034,1.1600,Si
1.1700,0.4268,1.1700,Si
1.1800,0.4499,1.1800,Si
1.1900,0.4729,1.1900,Si
1.2000,0.4956,1.2000,Si
1.2100,0.5182,1.2100,Si
1.2200,0.5405,1.2200,Si
1.2300,0.5627,1.2300,Si
1.2400,0.5847,1.2400,Si
1.2500,0.6066,1.2500,Si
1.2600,0.6282,1.2600,Si
1.2700,0.6497,1.2700,Si
1.2800,0.6710,1.2800,Si
1.2900,0.6922,1.2900,Si
1.3000,0.7132,1.3000,Si
1.3100,0.7340,1.3100,Si
1.3200,0.7547,1.3200,Si
1.3300,0.7752,1.3300,Si
1.3400,0.7956,1.3400,Si
1.3500,0.8158,1.3500,Si
1.3600,0.8358,1.3600,Si
1.3700,0.8557,1.3700,Si
1.3800,0.8755,1.3800,Si
1.3900,0.8951,1.3900,Si
1.4000,0.9146,1.4000,Si
1.4100,0.9340,1.4100,Si
1.4200,0.9532,1.4200,Si
1.4300,0.9723,1.4300,Si
1.4400,0.9912,1.4400,Si
1.4500,1.0100,1.4500,Si
1.4600,1.0287,1.4600,Si
1.4700,1.0473,1.4700,Si
1.4800,1.0657,1.4800,Si
1.4900,1.0840,1.4900,Si
1.5000,1.1022,1.5000,Si
1.5100,1.1202,1.5100,Si
1.5200,1.1382,1.5200,Si
1.5300,1.1560,1.5300,Si
1.5400,1.1737,1.5400,Si
1.5500,1.1913,1.5500,Si
1.5600,1.2088,1.5600,Si
1.5700,1.2262,1.5700,Si
1.5800,1.2434,1.5800,Si
1.5900,1.2606,1.5900,Si
1.6000,1.2776,1.6000,Si
1.6100,1.2945,1.6100,Si
1.6200,1.3114,1.6200,Si
1.6300,1.3281,1.6300,Si
1.6400,1.3447,1.6400,Si
